id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4620589035953356,K8DC7oYJS,【#外交部回应新冠病毒溯源研究报告#】外交部发言人：中方注意到，世卫组织已发布新冠病毒溯源研究报告。中方对参与此次溯源合作的中外专家展现出的科学、勤勉、专业精神表示赞赏。今年1月14日至2月10日，中国专家和来自世卫组织及10个国家的国际专家共同组成联合专家组，在武汉开展了为期28天的联合研究。中方为专家组在武汉的顺利工作提供了必要协助，充分体现了中方开放、透明、负责任的态度。溯源是科学问题，应由全球科学家合作开展有关工作。将溯源问题政治化的行径只会严重阻碍全球溯源合作，破坏全球抗疫努力，导致更多的生命损失。这同国际社会团结抗疫的愿望背道而驰。网页链接,,https://wx3.sinaimg.cn/large/0033ImPzly1gp2cfao5eij60md0oigq102.jpg,,,2021-03-30,微博 weibo.com,7900,401,410,外交部回应新冠病毒溯源研究报告,
4620585122662704,K8DvObaGQ,【#新冠病毒溯源联合研究报告要点#】①#新冠溯源联合研究称实验室泄露极不可能#；②调查其他国家的潜在早期传播“是重要的”；③新冠病毒经中间宿主引入人类“比较可能”到“非常可能”；④在全球更广范围内继续寻找可能的早期病例，由全球科学家在多国多地寻找可能成为病毒宿主的动物物种，进一步了解冷链以及冷冻食品在病毒传播过程中的作用等。网页链接,,https://wx1.sinaimg.cn/large/0033ImPzly1gp2bzc3vt2j60u01d8wtv02.jpg,,,2021-03-30,微博 weibo.com,4927,266,356,"新冠病毒溯源联合研究报告要点,新冠溯源联合研究称实验室泄露极不可能",
4620581268362827,K8DpAz5yj,【夜读：一个人值不值得交往，可以看这3点】①能否体谅他人，不显摆自己的优越感；②是否懂得未经他人之事，不论他人是非；③心胸是否狭隘，为人是否大度。惟有有教养的人，才能得到别人更多的支持，人生之路也才能越走越宽。共勉。 【夜读】一个人值不值得交往，可以看这3点 ,,,,,2021-03-30,微博 weibo.com,7524,1090,2284,,
4620574473586190,K8DeDf2VM,【#新冠病毒溯源联合研究报告发布#】中国-世卫组织新冠病毒溯源联合研究报告30日在日内瓦发布，报告认为新冠病毒通过实验室引入人类“极不可能”。#新冠溯源联合研究称实验室泄露极不可能# 网页链接 ,,https://wx2.sinaimg.cn/large/0033ImPzly1gp2ar03qh3j60j60j676702.jpg,,,2021-03-30,微博 weibo.com,4456,371,231,"新冠病毒溯源联合研究报告发布,新冠溯源联合研究称实验室泄露极不可能",
4620565996900401,K8D0XsX6N,【#过敏已成全球第六大慢病#】全球范围内，约有2.5亿人有食物过敏症，3亿人患有哮喘，4亿人有鼻炎，总人口中十分之一有药物过敏反应，被列为全球第六大慢性疾病。到底有哪些致敏动植物？预防和用药如何双管齐下？转发了解！网页链接 ,,https://wx1.sinaimg.cn/large/0033ImPzly1gp29rwss03j60rs1xg12y02.jpg,,,2021-03-30,微博 weibo.com,3246,881,978,过敏已成全球第六大慢病,
4620557867292030,K8CNQuAZo,【文旅部加强未成年网络文化保护：处理问题直播，下线违规视频】今年2月，文化和旅游部在全国范围内部署开展网络文化市场集中执法检查，上海市杨浦区多次约谈上海宽娱数码科技有限公司（“B站”），督促下线内容违规的网络动漫产品及相关视频，妥善处理争议问题。湖北省武汉市督促武汉斗鱼网络科技有限公司（“斗鱼直播”）落实自查清理工作，处理问题直播间356个，封禁相关账号27个。文化和旅游部加强网络文化市场执法 守护未成年人身心健康,,https://wx1.sinaimg.cn/large/0033ImPzly1gp28uktzozj60u012b7kx02.jpg,,,2021-03-30,微博 weibo.com,12713,859,675,,
4620549777003917,K8CANto2p,【春天来了一起动起来：高效燃脂运动推荐】春天来临，万物复苏，一起运动健身吧！高强度间歇训练（HIIT）是一种经典、高效、省时间的减肥方法，通过高强度、短间歇的运动方式，将多种徒手训练组合，达到全身燃脂的效果。网友：三月不减肥，四五六七八月徒伤悲。健身老班长的微博视频 ,,,"https://f.video.weibocdn.com/mskXW1sUlx07Llm7PvhK010412003aCK0E010.mp4?label=hevc_mp4_hd&template=576x1024.29.0&trans_finger=f3b0874ed38b4e926b1f604fa1785ce6&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573343&ssig=jr41KR9HaQ&KID=unistore,video",,2021-03-30,微博视频号,12181,1173,7068,,
4620538049203396,K8ChSCCdS,【有创意！#清华建筑拟人漫画#，你喜欢哪一张？】为迎接110周年校庆，清华大学推出建筑拟人漫画，将清华园里的重点建筑画成了学生模样。网友：好棒，建议出周边！网页链接 ,,"https://wx3.sinaimg.cn/large/0033ImPzly1gp26h2ctjmj60u0140mzo02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp26h2cs0wj60u014041502.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp26h2d1hqj60u014040y02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp26h2d2axj60u0140ack02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp26h2dvy4j60u0140acz02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp26h2chquj60u0140gow02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp26h2i325j60u0140dhs02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp26h2jc5tj60u0140gof02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp26h2h9sbj60u0140q4z02.jpg",,,2021-03-30,微博 weibo.com,8653,782,1004,清华建筑拟人漫画,
4620531116541850,K8C6HrrPI,【#贵州将逐步调整降低少数民族高考加分#】近日，贵州省对高考加分政策进行调整，将于2022年高考起正式施行。其中，全国性加分项目中将逐步分3个区域和不同时段，最晚到2026年时逐渐调整降低少数民族高考加分。网页链接 ,,https://wx2.sinaimg.cn/large/0033ImPzly1gp25xahuc5j60w40u048w02.jpg,,,2021-03-30,微博 weibo.com,8716,941,357,贵州将逐步调整降低少数民族高考加分,
4620528126790525,K8C1SsuwB,【交通运输部：#推动网约车开通电话叫车#】交通运输部印发《2021年便利老年人打车出行工作方案》，要求2021年11月底前，实现#95128约车服务电话号码#覆盖100个地级及以上城市。推动主要网约车平台公司开通电话叫车服务，优化约车软件，为老年人增设一键叫车功能。网页链接 ,,https://wx1.sinaimg.cn/large/0033ImPzly1gp25fq0qkij60u01d8k2g02.jpg,,,2021-03-30,微博 weibo.com,2674,244,302,"推动网约车开通电话叫车,95128约车服务电话号码",
4620521088747263,K8BQwAHyT,【#汶川地震孤儿长大参军#】汶川地震时，8岁的乔莲畤不幸失去父母，只剩下年迈的爷爷奶奶和两个未成年的堂哥，之后他被广西好心人收养。今年，21岁的他志愿参军，报效祖国！加油！央广军事的微博视频 ,,,"https://f.video.weibocdn.com/M3RR2V1Blx07Ltgo3UgM010412000Ujc0E010.mp4?label=mp4_ld&template=360x640.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573344&ssig=EuShi92y2H&KID=unistore,video",,2021-03-30,微博视频号,11389,811,404,汶川地震孤儿长大参军,
4620515714533516,K8BHRj1ne,【#华春莹质疑外媒问了不少报道了吗#】华春莹：有一些媒体在其中也发挥了扮演了很不光彩的角色，我注意到，包括上周五我放了视频之后，很多在座的媒体，包括法新社，路透社，还有彭博社，你们都问了不少的问题，但是我跟踪了一下你们报道了没有？你们对于那么多的事实视而不见，不报道，却去轻信郑国恩之流，还有一些媒体或者一些所谓的“学者”的观点，你们是不是也存在着一点选择性的报道？我觉得这个问题是不是也值得大家深思。海客新闻的秒拍视频,,,"https://gslb.miaopai.com/stream/vHzgp68Ucd1uZV9ucZmewADaIEDKRdfpb2QNQg__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=8&ori=0&ps=1BThihd3VLAY5R&Expires=1618573345&ssig=agiLrRdbAp&KID=unistore,video",,2021-03-30,微博视频号,6389,480,454,华春莹质疑外媒问了不少报道了吗,
4620505434296332,K8Brhi1FG,【最新发现！#西安发现疑似周天子使用的宗庙#】近日，西安镐京遗址发现高等级大型建筑。镐京遗址曾经是西周武王时期建立的都城——镐京的核心区域。该大型建筑总面积超过1800多平方米，考古人员分析，这座建筑很有可能是一座西周天子使用的宗庙或者宫室建筑。陕视新闻的微博视频 ,,,"https://f.video.weibocdn.com/xHtGwNcPlx07LulMIYiQ01041200DS300E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573344&ssig=WhlJH50Wp7&KID=unistore,video",,2021-03-30,微博视频号,4858,463,434,西安发现疑似周天子使用的宗庙,
4620497311237021,K8Beb5bNX,【好美！#长城与花海恋爱了#】春意盎然，北京怀柔河防口长城内外，上千亩的杏花、山桃花竞相绽放，壮美花海、如诗如画。每年清明节前后，这里山花开遍，吸引大批游客前来踏青赏花。清明小长假，你想带谁一起去？（北京日报） ,,"https://wx3.sinaimg.cn/large/0033ImPzly1gp21v5xok3j61b80tyb2b02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp21v3k34pj61900u0kjn02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp21v3hrb9j619m0u0kjn02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp21v5u765j61990u0hdv02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp21v3aw63j618h0u0kjn02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp21v5yd9xj61920u0kjn02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp21v4da3zj618y0u0b2b02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp21v5mzjsj61b80tynpf02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp21v2x62dj61b80t94qr02.jpg",,,2021-03-30,微博 weibo.com,6128,1041,1310,长城与花海恋爱了,
4620490276864927,K8B2PsNSD,【美！#厦门多地出现蓝眼泪奇观#】3月29日，厦门筼筜湖畔出现“蓝眼泪” 奇观。蓝眼泪景观是由一种称为夜光藻的浮游生物引起的发光现象，因夜光藻的身体内有荧光酶和荧光素，受海浪拍打等刺激时发生反应，就会发出浅蓝色的光。网友：好浪漫！沸点天际线的微博视频 ,,,"https://f.video.weibocdn.com/khxlJh3rlx07LuFvcD3q01041200ie3U0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573344&ssig=LUhbGa4JKg&KID=unistore,video",,2021-03-30,微博视频号,26355,2176,2649,厦门多地出现蓝眼泪奇观,
4620482781385794,K8AQK5Ovw,【#华春莹回应抵制H&M是否为政府要求#】有外媒记者提问说，中国人近日对H&M的愤怒似乎有所消退，这是否意味着中国政府在这一问题上回撤？华春莹：你提这个问题对中国存在严重的误解和偏见。你们认为网上有网民表达了对某一件事情的愤怒，你们就认为是中国政府要求的。中国有14亿人，这14亿人民每个人都有自己的脑袋，每个人都有自己的思想，每个人也都有在网上表达自己想法和感受的权利。关于H&M和新疆棉花之间的关系或者这个问题，这几天中国人民的感情，中国人民的想法立场表达的也非常清楚了。外媒记者称中国人对H&M的愤怒似乎有所消退，华春莹回应,,https://wx1.sinaimg.cn/large/0033ImPzly1gp2088lypkj60l80eqab502.jpg,,,2021-03-30,微博 weibo.com,33761,1012,436,,
4620474992822193,K8AEbbQbf,【俄总统新闻秘书：#普京不允许美国从实力的角度同俄罗斯谈话#】当地时间30日，俄罗斯总统新闻秘书佩斯科夫称：“我们不允许美国自称从实力的角度同俄罗斯谈话，这是不可能的。美国现在不断地重复说，‘我们从实力的角度出发同所有人谈话’。不管是俄罗斯总统普京还是其他官员，都不允许美国或者其他国家这样跟我们谈话。”俄罗斯总统新闻秘书：普京不允许美国自称从实力的角度同俄罗斯谈话,,https://wx1.sinaimg.cn/large/0033ImPzly1gp1zc14ba9j611f0u0gnu02.jpg,,,2021-03-30,微博 weibo.com,26540,1732,1687,普京不允许美国从实力的角度同俄罗斯谈话,
4620472513202409,K8AAbdr5L,【#多方发声支持完善香港选举制度#】“政权由爱国者掌握，这是基本的政治原则，天经地义，举世皆然”“任何插手香港事务、对华施压的图谋都绝不会得逞”……#新修订的香港基本法附件一附件二全票通过#，多方发声↓↓落实“爱国者治港”，香港才有美好未来！ ,,"https://wx4.sinaimg.cn/large/0033ImPzly1gp1z1qj5m5j60rs15oqca02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1z1qi7gmj60rs15on8p02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1z1qfkjsj60rs15o4be02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1z1qfcgej60rs15o7gl02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp1z1qfmk1j60rs15on9902.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp1z1qi5euj60rs15o4aq02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp1z1qqvgrj60rs15o7cf02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1z1qupg0j60rs15onai02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1z1qriyqj60rs15odnz02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp1z1qw5xrj60rs15o16b02.jpg",,,2021-03-30,微博 weibo.com,2091,221,445,"多方发声支持完善香港选举制度,新修订的香港基本法附件一附件二全票通过",
4620465832987464,K8AppcxaU,【#老版四大名著电视剧为何经典#？】《红楼梦》36集，5年时间制作完成，其中拍摄期3年；《西游记》25集，6年制作完成；《三国演义》84集，5年制作完成，拍摄期3年；《水浒传》也花了3年零8个月才完成。从1981年到1998年，这是片酬不高但工匠精神处处闪光的时期。能工巧匠的技艺和锲而不舍的精神，这两点对今天的影视创作者尤其重要。 老版四大名著电视剧为何经典？,,,,,2021-03-30,微博 weibo.com,6995,883,1014,老版四大名著电视剧为何经典,
4620459473111215,K8Af9d3mT,【宛若仙境！#湖北恩施绝壁下油菜花#竞相绽放】3月27日，湖北恩施朝东岩万丈绝壁下绽放的油菜花宛如金黄色大海。每年3月中旬，恩施市屯堡乡田凤坪村，1980多亩油菜花开满漫山遍野，绵延几公里。（视觉中国） ,,"https://wx3.sinaimg.cn/large/0033ImPzly1gp1xjj3b1bj618z0u0wwu02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1xji30ntj60u011x7wh02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1xji3iefj61410u0b2902.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1xjh5wfvj60u018zqos02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp1xjjfhwvj618z0u0h8q02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp1xji0typj61410u07wh02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1xjj9qi2j60u018z1kx02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp1xji8vbvj61410u07wh02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1xjh5smej618z0u07op02.jpg",,,2021-03-30,微博 weibo.com,4490,837,1281,湖北恩施绝壁下油菜花,
4620453497541987,K8A5vvE0X,【有理有据！#初中生谈课外班到底有没有用#】上课外补习班到底有没有必要？近日，河南郑州，一名初一男生在年级大会上阐述自己的观点：“你报课外班是自愿的吗”，“如果你学习比较慢，报班反而会拖累你”，“不妨上课认真听讲，把课上学的东西掌握扎实”。网友：目测是个学霸！猛犸新闻的微博视频 ,,,"https://f.video.weibocdn.com/wzzq5B2slx07LtiukKso01041200t8lc0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573345&ssig=1fMApjVHXw&KID=unistore,video",,2021-03-30,微博视频号,23672,1760,1503,初中生谈课外班到底有没有用,
4620445497953365,K8zSBxn25,【#人民锐评#：维护香港稳定的济世良方】#新修订的香港基本法附件一附件二全票通过#，完成“决定+修法”的第二步。修订后的附件一、附件二更好拧紧选举制度的“安全阀”，确保香港管治权牢牢掌握在爱国爱港者手中。香港选举产生怎样的管治者来掌握公权力，不是要不要民主的问题，而是涉及夺权与反夺权、颠覆与反颠覆、渗透与反渗透的政治问题。阻断反中乱港势力体制内夺权的通道，让个别人阻碍立法会运行及政府施政的行为成为过去时，少数人骑劫民意引发社会动荡的现象一去不复返。支持完善选举制度，支持特区尽快完成本地配套立法，香港才能摆脱争拗羁绊，走出政治泥沼，同心创造更加美好的明天。网页链接,,https://wx3.sinaimg.cn/large/0033ImPzly1gp1vxl8k5aj60rs15oh0202.jpg,,,2021-03-30,微博 weibo.com,3160,322,513,"人民锐评,新修订的香港基本法附件一附件二全票通过",
4620441346640103,K8zLUrRor,【来了！#新修订的香港基本法附件一附件二全文#】#新修订的香港基本法附件一附件二全票通过#  中华人民共和国香港特别行政区基本法附件一、附件二 ,,,,,2021-03-30,微博 weibo.com,2224,207,565,"新修订的香港基本法附件一附件二全文,新修订的香港基本法附件一附件二全票通过",
4620436685981775,K8zEop68f,#新修订的香港基本法附件一附件二明起施行#香港加油！中国加油！ ,,https://wx4.sinaimg.cn/large/0033ImPzly1gp1uwjuc9rj60rs15otn202.jpg,,,2021-03-30,微博 weibo.com,7114,671,895,新修订的香港基本法附件一附件二明起施行,
4620427609246449,K8zpKCNqh,【现场视频来了！#新修订的香港基本法附件一附件二全票通过#】30日上午，十三届全国人大常委会第二十七次会议表决通过新修订的香港基本法附件一及附件二。国家主席习近平分别签署第75、76号主席令予以公布。 人民日报的微博视频 ,,,"https://f.video.weibocdn.com/o03VtaKLlx07LuwE2igo01041200onIY0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573345&ssig=pPdM2vA6TO&KID=unistore,video",,2021-03-30,微博视频号,3070,280,387,新修订的香港基本法附件一附件二全票通过,
4620421925962165,K8zgAp11X,【全票通过！#新修订的香港基本法附件一附件二全票通过#】30日，十三届全国人大常委会第二十七次会议表决通过新修订的香港基本法附件一及附件二。 ,,https://wx1.sinaimg.cn/large/0033ImPzly1gp1t8maltjj60rs15oqhf02.jpg,,,2021-03-30,微博 weibo.com,12943,737,1525,新修订的香港基本法附件一附件二全票通过,
4620413437741339,K8z2TwtSj,【#如何分辨抑郁症和躁郁症#】时而情绪高涨，即使休息很少，也不觉得疲倦；时而自卑沮丧、疲倦嗜睡，觉得人生毫无希望…这很可能是双相障碍（躁郁症）在作祟。今天是#世界双相障碍日#，医生提醒：躁郁症近年来在年轻人中的发病率走高，#15-19岁是躁郁症发病高峰#。戳视频了解↓↓  人民日报的微博视频,,,"https://f.video.weibocdn.com/PwWKOaeYlx07LusIXb6E01041200FmGw0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BThihd3VLAY5R&Expires=1618573346&ssig=koSnOU8%2Fp0&KID=unistore,video",,2021-03-30,微博视频号,7690,917,1781,"如何分辨抑郁症和躁郁症,世界双相障碍日,15-19岁是躁郁症发病高峰",
4620405317042356,K8yPNty2o,【#中国共产党百年述职报告#】胸怀千秋伟业，恰是百年风华。#中国共产党100周年#，一起感受这用鲜血、汗水、泪水、勇气、智慧、力量写就的百年。  人民日报的微博视频 ,,,"https://f.video.weibocdn.com/m5Ny8EHQlx07LuqxP2bu01041203dD0t0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573347&ssig=QOj%2B8nY2Nl&KID=unistore,video",,2021-03-30,微博视频号,83964,5446,37378,"中国共产党百年述职报告,中国共产党100周年",
4620399750416329,K8yGP1KiZ,【#伊朗外交官的凡尔赛#】@伊朗驻华大使馆：有些人说中国疫苗有“副作用”，伊朗驻华大使馆的外交官们接种之后果然出现了明显“副作用”。最主要的临床表现是：逢人就炫耀自己打了中国疫苗。 ,,"https://wx3.sinaimg.cn/large/0033ImPzly1gp1qgwwvbuj60g608j41002.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1qgzjl1cj60sg1ekn4d02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp1qgzkjhej60sg1ek46802.jpg",,,2021-03-30,微博 weibo.com,30728,1421,1413,伊朗外交官的凡尔赛,伊朗驻华大使馆
4620392524681105,K8yvajDLH,【#哈尔滨电老虎垄断电力系统超7成份额#：拥百辆豪车、房产69套，被查扣现金近10亿】几年前，因长期使用临时施工用电，哈尔滨一些小区用电时常被卡。哈尔滨市电力局原副局长李伟及其兄弟把控着配套费，“你想着急用电，那你就要拿好处”。警方查明，李氏兄弟分包的配套费工程总价达31.6亿余元，共涉嫌24项刑事犯罪，形成3285本卷宗，可以铺满5个篮球场。#三兄弟垄断电力供应致小区总停电#央视网快看的微博视频,,,"https://locallimit.us.sinaimg.cn/gMh6yKWWlx07LtJ8XpEs01041205O3TG0E030.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BThihd3VLAY5R&Expires=1618573347&ssig=9dtXPUS08M&KID=unistore,video",,2021-03-30,微博视频号,77014,4196,2478,"哈尔滨电老虎垄断电力系统超7成份额,三兄弟垄断电力供应致小区总停电",
4620383129178286,K8yg0CvGS,【前英国媒体人：#BBC花钱雇郑国恩污蔑中国#】近日，#前英国媒体人揭露涉疆假新闻来源#。他指出，其中一个来源是多次被曝制造假新闻的反华人士郑国恩，起初郑国恩拒绝了BBC的“邀请”，却在得到一笔佣金后开始为其寻找“证据”污蔑中国。另一个虚假消息来源正是西方媒体自身。CGTN的微博视频 ,,,"https://f.video.weibocdn.com/001VAuLhgx07LtAFld1601041200rZjU0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573347&ssig=DjP1d9scTZ&KID=unistore,video",,2021-03-30,微博视频号,5208,489,864,"BBC花钱雇郑国恩污蔑中国,前英国媒体人揭露涉疆假新闻来源",
4620375318856852,K8y3pBa4s,【想想都后怕！#女子遭三名男子尾随机智自救#】27日晚，广东广州，陈女士下楼时发现有三名陌生男子尾随，赶紧返回公寓。进电梯后一男子跟进电梯，陈女士出电梯，这名男子也跟着出电梯。最后，陈女士走到路边人多的地方，给朋友打电话，直到三名男子离开。隔天，陈女士报警。时间视频的微博视频 ,,,"https://f.video.weibocdn.com/IIqmAUoIlx07Lta0msY001041200Bcs10E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573347&ssig=LwDJqNJvhU&KID=unistore,video",,2021-03-30,微博视频号,196219,4052,7923,女子遭三名男子尾随机智自救,
4620368892922555,K8xT3cghZ,【#31省区市本土零新增#：#31省区市新增确诊8例均为境外输入#】3月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例8例，均为境外输入病例（上海3例，四川3例，广东2例）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例7例，解除医学观察的密切接触者199人，重症病例与前一日持平。境外输入现有确诊病例170例（其中重症病例1例），现有疑似病例2例。累计确诊病例5285例，累计治愈出院病例5115例，无死亡病例。截至3月29日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例173例（其中重症病例1例），累计治愈出院病例85381例，累计死亡病例4636例，累计报告确诊病例90190例，现有疑似病例2例。累计追踪到密切接触者989020人，尚在医学观察的密切接触者4894人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者6例（均为境外输入）；当日转为确诊病例3例（均为境外输入）；当日解除医学观察13例（均为境外输入）；尚在医学观察无症状感染者263例（均为境外输入）。累计收到港澳台地区通报确诊病例12525例。其中，香港特别行政区11454例（出院11075例，死亡205例），澳门特别行政区48例（出院48例），台湾地区1023例（出院979例，死亡10例）。,,"https://wx3.sinaimg.cn/large/0033ImPzly1gp1nclk7a0j60j60wbjxr02.jpg,https://wx4.sinaimg.cn/large/0033ImPzly1gp1nclmb0uj60u01ekajd02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1nclmro3j60u01ektj702.jpg",,,2021-03-30,微博 weibo.com,1190,245,257,"31省区市本土零新增,31省区市新增确诊8例均为境外输入",
4620366275939523,K8xOPoV8L,【对英雄最好的告慰，就是让悲剧不再发生】2019年3月30日，四川凉山木里森林火灾，27名森林消防指战员和4名地方干部群众在扑救中牺牲；2020年3月30日，四川凉山西昌市经久乡森林火灾，19名地方扑火人员牺牲，3人重伤。今天，#缅怀凉山扑火勇士#，#告慰英雄别让悲剧重演#。 ,,https://wx3.sinaimg.cn/large/0033ImPzly1gp1mu45v2sj60u01hc1kx02.jpg,,,2021-03-30,微博 weibo.com,91621,8707,872555,"缅怀凉山扑火勇士,告慰英雄别让悲剧重演",
4620362610378441,K8xIV1ArT,【周知！#4月起将实施的新规#】#中国天眼4月1日对全球科学家开放#，#6项便利老年人办理出入境证件措施#施行，全国铁路4月10日实行新的列车运行图，航空公司应缴民航发展基金征收标准再降低20%，最高法明确国家赔偿精神损害抚慰金标准……4月起，这些新变化将影响你我的生活↓↓ 事关出入境、乘车、旅游……4月起这些新变化请查收 ,,,,,2021-03-30,微博 weibo.com,2420,332,1148,"4月起将实施的新规,中国天眼4月1日对全球科学家开放,6项便利老年人办理出入境证件措施",
4620353454214677,K8xu9hGqF,【#专家解读延迟退休如何进行#】①小步调整：#延迟退休改革不会一步到位#，而是每年延迟几个月或每几个月延迟1个月；②弹性实施：延迟退休不会搞“一刀切”，不是规定每个人必须达到延迟后的法定退休年龄才能退休，而是要增加个人自主选择空间；③分类推进：#延迟退休不是齐步走#，对于现有不同职业、地区、岗位存在的一些政策差异，改革后也会保持政策延续性；④统筹兼顾：相关的配套和保障政策措施需要协同推进。详戳↓↓ 延迟退休如何进行,,,,,2021-03-30,微博 weibo.com,68792,4991,2235,"专家解读延迟退休如何进行,延迟退休改革不会一步到位,延迟退休不是齐步走",
4620341860631726,K8xbs2El8,【内心强大的人，丢掉了这些习惯】对过去的错误耿耿于怀，对他人的评价愤懑不平，对毫无意义的争论怀恨在心…人生难免挫折，但重要的是你面对困难的态度。丢掉患得患失、敏感自卑…以时间为证，在漫长岁月里脚踏实地走好每一步，去成为你想成为的自己。勇敢一点，限制你变得强大的，是你的内心，早安。 ,,"https://wx3.sinaimg.cn/large/0033ImPzly1gp1jsfxitqj60m80p07b902.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp1jsfy44ij60m80p0dnv02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1jsfy5vyj60m80p07cr02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1jsfxjkmj60m80p0jyd02.jpg,https://wx3.sinaimg.cn/large/0033ImPzly1gp1jsfxd6cj60m80p0n3202.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1jsfy6omj60m80p0wku02.jpg,https://wx1.sinaimg.cn/large/0033ImPzly1gp1jsg3892j60m80p0grd02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp1jsg4myoj60m80p0dmz02.jpg,https://wx2.sinaimg.cn/large/0033ImPzly1gp1jsg539jj60m80p0gsz02.jpg",,,2021-03-30,微博 weibo.com,12963,1977,7072,,
